produit_a,produit_b,nb_commandes_communes
Crème hydratante,Brosse électrique,15
Casque Bluetooth,Enceinte portable,13
Pull col rond,Friandises dentaires,13
Barre de son,Friandises dentaires,12
Caméra sport,Livre de cuisine,12
Croquettes premium,Panier moelleux,12
Kit manucure,Calendrier mural,12
Kit manucure,Disque SSD 1To,12
Kit manucure,Friandises dentaires,12
Parfum 50ml,Friandises dentaires,12
Support ordinateur,Gamelle anti-glouton,12
T-shirt coton bio,Agenda 2026,12
T-shirt coton bio,Tapis de yoga,12
Veste légère,Diffuseur d'huiles,12
Barre de son,Haltères réglables,11
